code,description,concept_id,vocabulary_id,domain_id,standard_concept
GCME001,"Choana plasty by nasal endoscopy with laser, for bilateral imperforation",,,,Non-standard
GCME002,"Choana plasty by nasal endoscopy with laser, for unilateral imperforation",,,,Non-standard
GCME003,"Choana plasty by nasal endoscopy without laser, for bilateral imperforation",,,,Non-standard
GCME004,"Choana plasty by nasal endoscopy without laser, for unilateral imperforation",,,,Non-standard
HMQH006,"Cholangiography, by injection of contrast medium into an external bile duct",,,,Non-standard
HMQH004,"Cholangiography, by injection of contrast product into the bile ducts transcutaneously, with ultrasound and / or radiological guidance",,,,Non-standard
HMQE001,Cholangioscopy through an external biliary drainage port already in place,,,,Non-standard
HMQH001,"Cholangioscopy, by mouth",,,,Non-standard
HMQG002,"Cholangioscopy, transcutaneously with ultrasound and / or radiological guidance",,,,Non-standard
07.04.10,Cholecystectomy,,,,Non-standard
HMFC003,"Cholecystectomy with choledochogastrostomy or choledochoduodenostomy, by laparoscopy",,,,Non-standard
HMFA002,"Cholecystectomy with choledochogastrostomy or choledochoduodenostomy, by laparotomy",,,,Non-standard
HMFC005,"Cholecystectomy with choledochojejunostomy, by laparoscopy",,,,Non-standard
HMFA001,"Cholecystectomy with choledochojejunostomy, by laparotomy",,,,Non-standard
HMFC002,"Cholecystectomy with stone removal of the main bile duct by choledochotomy, by laparoscopy",,,,Non-standard
HMFA008,"Cholecystectomy with stone removal of the main bile duct by choledochotomy, by laparotomy",,,,Non-standard
HMFA004,"Cholecystectomy with transcystic ablation of calculus of the main bile duct, by laparotomy",,,,Non-standard
HMFC001,"Cholecystectomy with transcystic calculus removal of the main bile duct, by laparoscopy",,,,Non-standard
HMFC004,"Cholecystectomy, by laparoscopy",,,,Non-standard
HMFA007,"Cholecystectomy, by laparotomy",,,,Non-standard
HMCA001,"Cholecystoduodenostomy for atresia of extrahepatic bile ducts, by laparotomy",,,,Non-standard
HMCA010,"Cholecystogastrostomy or cholecystoduodenostomy with gastrojejunostomy, by laparotomy",,,,Non-standard
HMCC003,"Cholecystogastrostomy or cholecystoduodenostomy, by laparoscopy",,,,Non-standard
HMCA003,"Cholecystogastrostomy or cholecystoduodenostomy, by laparotomy",,,,Non-standard
HMCA011,"Cholecystojejunostomy, by laparotomy",,,,Non-standard
07.04.01,Cholecystostomy,,,,Non-standard
HMCH001,"Cholecystostomy, transcutaneously with ultrasound and / or radiological guidance",,,,Non-standard
HMCC013,"Choledochoduodenostomy with gastrojejunostomy, by laparoscopy",,,,Non-standard
HMCA004,"Choledochoduodenostomy with gastrojejunostomy, by laparotomy",,,,Non-standard
HMCC002,"Choledochoduodenostomy, by laparoscopy",,,,Non-standard
HMCA002,"Choledochoduodenostomy, by laparotomy",,,,Non-standard
HMCC001,"Choledochojejunostomy, by laparoscopy",,,,Non-standard
HMCA006,"Choledochojejunostomy, by laparotomy",,,,Non-standard
CBFA005,"Cholesteatoma resection limited to the tympanic cavum, without antroattical exploration",,,,Non-standard
CBFA002,Cholesteatoma resection with closed technique tympanoplasty and ossiculoplasty,,,,Non-standard
CBFA003,Cholesteatoma resection with open technique tympanoplasty and ossiculoplasty,,,,Non-standard
CBFA006,Cholesteatoma resection with tympanoplasty in closed technique,,,,Non-standard
CBFA007,Cholesteatoma resection with tympanoplasty in open technique,,,,Non-standard
JPHB001,Choriocentesis or placentocentesis,,,,Non-standard
BGNP003,"Chorioretinal lesion destruction session by photocoagulation with laser, using contact lens",,,,Non-standard
BGNP007,"Chorioretinal lesion destruction session by photocoagulation with laser, using indirect ophthalmoscope",,,,Non-standard
BGNP004,Chorioretinal lesion destruction session by transpupillary photocoagulation with laser,,,,Non-standard
BGNP002,Chorioretinal lesion destruction session by transscleral cryoapplication,,,,Non-standard
BGNP008,"Chorioretinal photocoagulation session of the posterior pole, with argon or diode laser",,,,Non-standard
BGNP001,"Chorioretinal photocoagulation session of the posterior pole, with monochromatic laser or dye laser",,,,Non-standard
BGHB002,Choroid puncture,,,,Non-standard
BGJB001,"Choroidal collection evacuation, transscleral",,,,Non-standard
02.04.05.04,Choroidal lesion excision,,,,Non-standard
BGFA007,Choroidal tumor resection with iridocyclectomy,,,,Non-standard
BGFA004,Choroidal tumor resection without iridocyclectomy,,,,Non-standard
BEFA004,Ciliary body lesion excision,,,,Non-standard
QBFA003,Circular total abdominal dermolipectomy,,,,Non-standard
HDFA010,Circular total pharyngolaryngectomy,,,,Non-standard
HDFA001,Circular total pharyngolaryngectomy with restoration of continuity by free jejunum transplant,,,,Non-standard
HDFA006,Circular total pharyngolaryngectomy with restoration of continuity by retrosternal coloplasty,,,,Non-standard
4,CIRCULATORY APPARATUS,,,,Non-standard
04.07,CIRCULATORY ASSISTANCE,,,,Non-standard
04.01.07,Circulatory system scintigraphy,,,,Non-standard
HJFA008,"Circumferential resection of the mucosa of a rectal prolapse and plication of the muscularis, by perineal approach",,,,Non-standard
HJFA009,"Circumferential resection of the mucosa of a rectal prolapse and plication of the muscularis, with reduction of hedrocele by perineal approach",,,,Non-standard
13.02.02.04,Clavicle excision,,,,Non-standard
MACA004,Clavicle fracture osteosynthesis by external fixator,,,,Non-standard
MACB001,"Clavicle fracture osteosynthesis by wire, closed focus",,,,Non-standard
MACA001,"Clavicle fracture osteosynthesis, open focus",,,,Non-standard
13.02.02.02,Clavicle osteosynthesis,,,,Non-standard
13.02.02.03,Clavicle osteotomy,,,,Non-standard
14.03.02.04,Cleaning of the coxofemoral [Debridement] joint,,,,Non-standard
NEJC001,"Cleaning of the coxofemoral joint, by arthroscopy",,,,Non-standard
NEJA001,"Cleaning of the coxofemoral joint, by arthrotomy",,,,Non-standard
MFJC001,"Cleaning of the elbow joint, by arthroscopy",,,,Non-standard
MFJA001,"Cleaning of the elbow joint, by arthrotomy",,,,Non-standard
NFJA001,"Cleaning of the knee joint, by arthrotomy",,,,Non-standard
13.03.02.04,Cleaning of the scapulohumeral [Debridement] joint,,,,Non-standard
MEJC001,"Cleaning of the scapulohumeral joint, by arthroscopy",,,,Non-standard
MEJA001,"Cleaning of the scapulohumeral joint, by arthrotomy",,,,Non-standard
NGJC001,"Cleaning of the tibiotalar joint, by arthroscopy",,,,Non-standard
NGJA001,"Cleaning of the tibiotalar joint, by arthrotomy",,,,Non-standard
MGJC001,"Cleaning of the wrist joints, by arthroscopy",,,,Non-standard
MGJA001,"Cleaning of the wrist joints, by arthrotomy",,,,Non-standard
NFJC001,"Cleaning the knee joint, by arthroscopy",,,,Non-standard
GDPE001,"Clear laryngeal obstruction, by direct laryngoscopy with laser",,,,Non-standard
06.02.05.01,Clearance and destruction of lesion of the larynx,,,,Non-standard
HPPP002,Clearance of a peritoneal dialysis catheter,,,,Non-standard
DGPA014,"Clearance of a thoracic aortic prosthesis, by thoracotomy",,,,Non-standard
04.03.16.02,Clearance of arterial bypass limb,,,,Non-standard
04.05.08.04,Clearance of arteriovenous vascular access,,,,Non-standard
EZPA001,"Clearance of arteriovenous vascular access, by direct approach",,,,Non-standard
04.03.12.03,Clearance of digestive arteries,,,,Non-standard
EPPP002,Clearance of implantable site or central venous tunnel tunneled by thrombolytic agent,,,,Non-standard
07.02.02.09,Clearance of retained or impacted tooth,,,,Non-standard
04.03.11.03,Clearance of the abdominal aorta and the common iliac and external iliac arteries,,,,Non-standard
DGPF001,"Clearance of the aortic bifurcation, via the transcutaneous arterial route",,,,Non-standard
04.04.04.03,Clearance of the inferior vena cava,,,,Non-standard
04.03.02.02,Clearance of the pulmonary artery,,,,Non-standard
HGPH001,"Clearance of the small intestine by intestinal enema for meconium ileus, with radiological control",,,,Non-standard
HGPA006,"Clearance of the small intestine for meconium ileus, by laparotomy",,,,Non-standard
DHPA001,"Clearance of the superior vena cava, by thoracotomy",,,,Non-standard
03.01.01.05,Clinical and instrumental vestibular examination,,,,Non-standard
ZCQD001,"Clinical examination of the female small pelvis [pelvis] and perineum, under general anesthesia",,,,Non-standard
JMMA004,Clitoral reduction surgery,,,,Non-standard
MCCB003,Closed focus osteosynthesis of the diaphysis of a forearm bone,,,,Non-standard
MCCB007,Closed focus osteosynthesis of the diaphysis of the 2 bones of the forearm,,,,Non-standard
NDCB003,Closed-focus osteosynthesis of a metatarsal or toe phalanx,,,,Non-standard
NDCB002,Closed-focus osteosynthesis of several bones in the forefoot,,,,Non-standard
MACB002,Closed-focus scapular fracture osteosynthesis,,,,Non-standard
LMSA004,Closing a laparostomy,,,,Non-standard
JDSA001,"Closure of a bladder exstrophy with elongation of the urethra in girls, with osteotomy of the pelvis",,,,Non-standard
JDSA004,"Closure of a bladder exstrophy with elongation of the urethra in girls, without pelvic osteotomy",,,,Non-standard
JDSA009,"Closure of a bladder exstrophy with lengthening of the penis, with osteotomy of the pelvis",,,,Non-standard
JDSA007,"Closure of a bladder exstrophy with penis lengthening and unilateral or bilateral groin hernia repair, without pelvic osteotomy",,,,Non-standard
JDSA003,"Closure of a bladder exstrophy with penis lengthening, without pelvic osteotomy",,,,Non-standard
HASA002,Closure of a bucconasal fistula after an orofacial cleft by local plasty,,,,Non-standard
HASA003,Closure of a bucconasal fistula after an orofacial cleft by locoregional plasty or tongue flap,,,,Non-standard
ABSA009,"Closure of a cerebrospinal fluid fistula or postoperative meningocele of the cranial vault, by craniotomy",,,,Non-standard
AFSA003,Closure of a cerebrospinal fluid fistula or postoperative spinal meningocele,,,,Non-standard
HESA002,Closure of a congenital esotracheal fistula without esophageal atresia by cervicotomy and thoracotomy,,,,Non-standard
HESA006,"Closure of a congenital esotracheal fistula without esophageal atresia, by cervicotomy",,,,Non-standard
GDSA001,Closure of a congenital laryngeal diastema,,,,Non-standard
GDSA002,Closure of a congenital laryngotracheal diastema,,,,Non-standard
GDSA004,Closure of a congenital laryngotracheopharyngophageal cleft by cervicotomy,,,,Non-standard
GDSA003,Closure of a congenital laryngotracheopharyngophageal cleft by cervicotomy and thoracotomy,,,,Non-standard
HASA011,"Closure of a congenital macrostomy of 3 cm or more, with reconstruction of the labial commissure",,,,Non-standard
HASA024,"Closure of a congenital macrostomy of less than 3 cm, with reconstruction of the labial commissure",,,,Non-standard
EZSA005,"Closure of a congenital truncal arteriovenous communication [of a congenital truncal arteriovenous shunt], by direct approach",,,,Non-standard
DBSF001,"Closure of a dehiscence by disinsertion of an orificial cardiac prosthesis, by transcutaneous vascular route",,,,Non-standard
DASF002,"Closure of a dehiscence of an intraatrial partition prosthesis, via the transcutaneous vascular route",,,,Non-standard
EZSA003,"Closure of a false aneurysm of an arteriovenous vascular access with reconstruction of the vascular axes, by direct approach",,,,Non-standard
EZSM001,"Closure of a false aneurysm or arteriovenous fistula, by transdermal compression with ultrasound guidance",,,,Non-standard
LJSA001,Closure of a parietal disunity of a lateral thoracotomy,,,,Non-standard
DASF005,"Closure of a patent foramen ovale, via the transcutaneous venous route",,,,Non-standard
ABSA008,Closure of a postoperative cerebrospinal fluid fistula from the base of the skull,,,,Non-standard
DASA006,"Closure of a ruptured cardiac interventricular septum, by thoracotomy with CEC",,,,Non-standard
AFSA002,"Closure of a spina bifida with meningocele, by posterior approach",,,,Non-standard
AFSA001,"Closure of a spina bifida with myelomeningocele, by posterior approach",,,,Non-standard
EMSA001,"Closure of a traumatic arteriovenous fistula of the lower limb with vascular reconstruction, by direct approach",,,,Non-standard
EMSA002,"Closure of a traumatic arteriovenous fistula of the lower limb without vascular reconstruction, by direct approach",,,,Non-standard
LMSA002,"Closure of abdominal evisceration, by direct approach",,,,Non-standard
HESA001,"Closure of acquired esotracheal fistula, by cervicotomy",,,,Non-standard
JCSA002,"Closure of acquired uretero-uterine fistula, by direct approach",,,,Non-standard
JCSA001,"Closure of acquired ureterodigestive fistula, by direct approach",,,,Non-standard
JCSA005,"Closure of acquired ureterovesical fistula, by direct approach",,,,Non-standard
JDSA005,"Closure of acquired vesico-uterine fistula, by laparotomy",,,,Non-standard
JDSA011,"Closure of acquired vesicodigestive fistula, by laparotomy",,,,Non-standard
JDSA002,Closure of acquired vesicovaginal fistula by laparotomy,,,,Non-standard
JDSC024,"Closure of acquired vesicovaginal fistula, by laparoscopy",,,,Non-standard
JDSA006,"Closure of acquired vesicovaginal fistula, by vaginal approach",,,,Non-standard
HESA004,Closure of an acquired esotracheal fistula by cervicothoracotomy or thoracotomy,,,,Non-standard
HESA007,"Closure of an acquired esotracheal fistula with resection of the trachea, by cervicothoracotomy or by thoracotomy",,,,Non-standard
